SubCode,ExamDuration,IsNotSchedule,
ACC101,90,0,24/03/2023
ACC302,90,0,22/03/2023
ADS301m,90,0,24/03/2023
ADY201m,90,0,24/03/2023
AET102,90,0,24/03/2023
AIL302m,90,0,24/03/2023
AIL303m,90,0,24/03/2023
BRA301,270,0,26/03/2023
BUE201,90,0,24/03/2023
CAA201,90,0,24/03/2023
CCO201,270,0,24/03/2023
CEA201,90,0,24/03/2023
CHN111,270,0,24/03/2023
CHN122,270,0,24/03/2023
CPV301,90,0,23/03/2023
CSD201,90,0,26/03/2023
CSD203,90,0,24/03/2023
CSD301,90,0,24/03/2023
CSI104,90,0,24/03/2023
CSI105,90,0,24/03/2023
DAP391m,90,0,24/03/2023
DBI202,90,0,24/03/2023
DBM301,90,0,23/03/2023
DBS401,90,0,24/03/2023
DBW301,90,0,26/03/2023
DGT301,90,0,24/03/2023
DPL301m,90,0,23/03/2023
DTA301,90,0,22/03/2023
EAL201,90,0,23/03/2023
EAW211,90,0,24/03/2023
EAW221,90,0,24/03/2023
ECB101,90,0,23/03/2023
ECO111,90,0,24/03/2023
ECO121,90,0,24/03/2023
ECO201,90,0,24/03/2023
ECR201,90,0,24/03/2023
ELI301,270,0,23/03/2023
ELI401,270,0,23/03/2023
ELT301,90,0,23/03/2023
ENB301,90,0,24/03/2023
ENM301,270,0,24/03/2023
ENM401,270,0,24/03/2023
ENP102,90,0,24/03/2023
ERW411,90,0,23/03/2023
ESL101,90,0,23/03/2023
ESP301m,90,0,22/03/2023
EVN201,90,0,26/03/2023
FBM201,90,0,24/03/2023
FER201m,90,0,24/03/2023
FIN202,90,0,24/03/2023
FIN303,90,0,22/03/2023
FRS301,90,0,24/03/2023
GEM201,90,0,23/03/2023
HCI201,90,0,23/03/2023
HOA102,90,0,28/03/2023
HOD401,90,0,23/03/2023
HOM302,90,0,24/03/2023
IAA202,90,0,23/03/2023
IAM302,90,0,24/03/2023
IAP301,90,0,23/03/2023
IAW301,90,0,24/03/2023
IBC201,90,0,24/03/2023
IBF301,90,0,24/03/2023
IBI101,90,0,24/03/2023
IEI301,90,0,24/03/2023
IMP301,90,0,23/03/2023
IMT301,90,0,23/03/2023
IOC311,90,0,23/03/2023
IOP391,270,0,24/03/2023
IOS301,90,0,23/03/2023
IOT102,90,0,24/03/2023
IPR102,90,0,24/03/2023
ISC301,90,0,22/03/2023
ISC302,90,0,22/03/2023
ISM302,90,0,24/03/2023
ITA301,90,0,24/03/2023
JIG301,90,0,22/03/2023
JLR302,90,0,24/03/2023
JPB301,90,0,23/03/2023
JPD113,90,0,24/03/2023
JPD123,90,0,24/03/2023
JPD126,270,0,31/03/2023
JPD133,90,0,24/03/2023
JPD226,270,0,31/03/2023
JPD316,90,0,24/03/2023
JPD326,90,0,24/03/2023
JPD346,90,0,31/03/2023
JSC201,90,0,23/03/2023
JSC301,90,0,23/03/2023
JSI201,90,0,24/03/2023
KOR311,270,0,24/03/2023
KOR411,270,0,29/03/2023
LAW102,90,0,24/03/2023
LIT301,90,0,24/03/2023
LOG311,90,0,23/03/2023
LOG321,90,0,23/03/2023
LTG202,90,0,24/03/2023
LTG203,90,0,24/03/2023
MAD101,90,0,24/03/2023
MAE101,90,0,24/03/2023
MAI391,90,0,23/03/2023
MAS202,90,0,24/03/2023
MAS291,90,0,24/03/2023
MCO201m,270,0,24/03/2023
MED201,90,0,24/03/2023
MEP201,270,0,24/03/2023
MGT103,90,0,24/03/2023
MKT101,90,0,24/03/2023
MKT201,90,0,24/03/2023
MKT202,90,0,24/03/2023
MKT301,90,0,23/03/2023
MKT304,90,0,24/03/2023
MKT309m,90,0,24/03/2023
MLN101,90,0,22/03/2023
MLN122,90,0,24/03/2023
MLN131,90,0,24/03/2023
MLT301,90,0,23/03/2023
MMP201,90,0,24/03/2023
NWC204,90,0,24/03/2023
NWC302,90,0,23/03/2023
OSG202,90,0,24/03/2023
OSP201,90,0,24/03/2023
PFP191,90,0,24/03/2023
PRE202,270,0,26/03/2023
PRF192,90,0,26/03/2023
PRJ301,90,0,26/03/2023
PRJ302,90,0,23/03/2023
PRM392,90,0,24/03/2023
PRN211,90,0,25/03/2023
PRN221,90,0,24/03/2023
PRN231,90,0,24/03/2023
PRO192,90,0,24/03/2023
PRU211m,90,0,24/03/2023
PRU221m,90,0,24/03/2023
PRX301,90,0,23/03/2023
PST202,90,0,24/03/2023
RES201,90,0,24/03/2023
RES213,90,0,22/03/2023
RES222,90,0,23/03/2023
RES301,90,0,22/03/2023
RMB301,90,0,24/03/2023
RMC201,90,0,25/03/2023
SAL301,90,0,24/03/2023
SCM201,90,0,24/03/2023
SCM301m,90,0,24/03/2023
SEM101,90,0,23/03/2023
SSB201,90,0,24/03/2023
SSC102,90,0,24/03/2023
SSG104,90,0,24/03/2023
SST301,90,0,24/03/2023
SWD392,90,0,24/03/2023
SWR302,270,0,24/03/2023
SWT301,270,0,24/03/2023
VNC104,90,0,28/03/2023
VNR201,90,0,24/03/2023
VNR202,90,0,23/03/2023
